User ID,Subscription Type,,Monthly Revenue,Join Date,Last Payment Date,Country,Age,Gender,Device,Plan Duration,,,,,,
55,Basic,,10,20-04-2023,28-06-2023,Germany,39,Female,Smart TV,1 Month,,65,,,,
56,Premium,,15,15-03-2022,27-06-2023,France,36,Male,Tablet,1 Month,,71,,,,
57,Basic,,10,01-10-2022,25-06-2023,Brazil,46,Female,Laptop,1 Month,,67,,,,
58,Standard,,12,08-10-2021,24-06-2023,Mexico,34,Male,Smartphone,1 Month,,70,,,,
59,Premium,,15,03-12-2022,23-06-2023,Spain,27,Female,Smart TV,1 Month,,74,,,,
60,Basic,,10,14-06-2023,22-06-2023,Italy,42,Male,Tablet,1 Month,,70,,,,
61,Premium,,15,08-02-2023,22-06-2023,United States,28,Female,Laptop,1 Month,,76,,,,
62,Basic,,10,03-08-2022,28-06-2023,Canada,37,Male,Smartphone,1 Month,,72,,,,
63,Standard,,12,23-02-2022,27-06-2023,United Kingdom,41,Female,Smart TV,1 Month,,75,,,,
64,Standard,,12,20-06-2022,26-06-2023,Australia,29,Male,Tablet,1 Month,,76,,,,
65,Basic,,10,29-03-2023,28-06-2023,Germany,40,Female,Laptop,1 Month,,75,,,,
66,Premium,,15,30-01-2022,27-06-2023,France,29,Male,Smartphone,1 Month,,81,,,,
67,Basic,,10,18-09-2022,25-06-2023,Brazil,47,Female,Smart TV,1 Month,,77,,,,
68,Standard,,12,09-11-2021,24-06-2023,Mexico,33,Male,Tablet,1 Month,,80,,,,
69,Premium,,15,23-12-2022,23-06-2023,Spain,36,Female,Laptop,1 Month,,84,,,,
70,Basic,,10,08-05-2023,22-06-2023,Italy,41,Male,Smartphone,1 Month,,80,,,,
71,Basic,,10,26-01-2022,20-06-2023,United States,27,Male,Smartphone,1 Month,,81,,,,
72,Basic,,10,11-10-2022,22-06-2023,Canada,31,Female,Smartphone,1 Month,,82,,,,
73,Standard,,12,27-09-2022,26-06-2023,United Kingdom,28,Female,Laptop,1 Month,,85,,,,
74,Premium,,13,14-12-2022,25-06-2023,Australia,41,Female,Smartphone,1 Month,,87,,,,
75,Basic,,13,28-05-2022,26-06-2023,Germany,28,Female,Laptop,1 Month,,88,,,,
76,Basic,,13,29-12-2021,26-06-2023,France,51,Female,Laptop,1 Month,,89,,,,
77,Premium,,15,25-12-2022,23-06-2023,Brazil,45,Female,Smartphone,1 Month,,92,,,,
78,Standard,,15,18-11-2022,28-06-2023,Mexico,49,Male,Tablet,1 Month,,93,,,,
79,Standard,,15,03-12-2022,25-06-2023,Spain,43,Female,Laptop,1 Month,,94,,,,
80,Basic,,12,08-11-2022,22-06-2023,Italy,43,Male,Tablet,1 Month,,92,,,,
81,Premium,,10,11-01-2023,24-06-2023,United States,37,Male,Tablet,1 Month,,91,,,,
82,Standard,,12,07-12-2022,28-06-2023,Canada,35,Male,Laptop,1 Month,,94,,,,
83,Basic,,10,20-10-2022,26-06-2023,United Kingdom,46,Female,Smartphone,1 Month,,93,,,,
84,Standard,,12,13-04-2023,25-06-2023,Australia,32,Male,Smartphone,1 Month,,96,,,,
85,Premium,,10,06-04-2023,27-06-2023,Germany,37,Female,Laptop,1 Month,,95,,,,
86,Basic,,11,04-03-2022,25-06-2023,France,29,Female,Smartphone,1 Month,,97,,,,
87,Premium,,15,28-12-2021,23-06-2023,Brazil,45,Male,Smart TV,1 Month,,102,,,,
88,Standard,,12,27-09-2022,28-06-2023,Mexico,47,Male,Tablet,1 Month,,100,,,,
89,Basic,,15,20-10-2022,26-06-2023,Spain,39,Male,Smartphone,1 Month,,104,,,,
90,Standard,,13,03-02-2023,23-06-2023,Italy,49,Female,Smartphone,1 Month,,103,,,,
91,Premium,,11,03-10-2022,23-06-2023,United States,39,Male,Tablet,1 Month,,102,,,,
92,Basic,,14,05-01-2022,28-06-2023,Canada,39,Male,Smart TV,1 Month,,106,,,,
93,Standard,,12,05-02-2022,26-06-2023,United Kingdom,35,Male,Smartphone,1 Month,,105,,,,
94,Premium,,12,19-03-2022,25-06-2023,Australia,44,Male,Smartphone,1 Month,,106,,,,
95,Basic,,11,28-02-2022,25-06-2023,Germany,34,Male,Laptop,1 Month,,106,,,,
96,Premium,,14,26-07-2022,24-06-2023,France,32,Male,Laptop,1 Month,,110,,,,
97,Basic,,10,05-03-2022,24-06-2023,Brazil,29,Female,Tablet,1 Month,,107,,,,
98,Standard,,13,07-03-2022,28-06-2023,Mexico,31,Female,Tablet,1 Month,,111,,,,
99,Standard,,12,13-01-2023,24-06-2023,Spain,29,Female,Tablet,1 Month,,111,,,,
100,Basic,,12,22-01-2023,25-06-2023,Italy,35,Male,Laptop,1 Month,,112,,,,
101,Premium,,11,17-10-2022,24-06-2023,United States,46,Female,Tablet,1 Month,,112,,,,
102,Basic,,12,29-03-2022,28-06-2023,Canada,31,Male,Tablet,1 Month,,114,,,,
103,Standard,,13,04-04-2022,26-06-2023,United Kingdom,36,Male,Laptop,1 Month,,116,,,,
104,Premium,,10,08-06-2022,25-06-2023,Australia,38,Male,Laptop,1 Month,,114,,,,
105,Basic,,11,04-03-2022,27-06-2023,Germany,46,Female,Laptop,1 Month,,116,,,,
106,Premium,,10,18-03-2022,24-06-2023,France,49,Female,Tablet,1 Month,,116,,,,
107,Basic,,14,07-03-2022,24-06-2023,Brazil,29,Female,Smart TV,1 Month,,121,,,,
108,Standard,,12,24-05-2022,25-06-2023,Mexico,27,Female,Smart TV,1 Month,,120,,,,
109,Standard,,13,08-02-2023,25-06-2023,Spain,35,Female,Tablet,1 Month,,122,,,,
110,Basic,,13,26-01-2023,24-06-2023,Italy,37,Female,Laptop,1 Month,,123,,,,
111,Premium,,14,14-07-2022,27-06-2023,United States,40,Male,Tablet,1 Month,,125,,,,
112,Basic,,10,01-06-2022,28-06-2023,Canada,33,Female,Laptop,1 Month,,122,,,,
113,Standard,,15,07-05-2022,26-06-2023,United Kingdom,37,Male,Tablet,1 Month,,128,,,,
114,Premium,,10,18-11-2022,25-06-2023,Australia,48,Male,Smartphone,1 Month,,124,,,,
115,Basic,,11,05-04-2022,25-06-2023,Germany,50,Female,Laptop,1 Month,,126,,,,
116,Premium,,14,19-05-2022,23-06-2023,France,45,Female,Smart TV,1 Month,,130,,,,
117,Basic,,15,30-10-2021,23-06-2023,Brazil,40,Female,Tablet,1 Month,,132,,,,
118,Standard,,12,07-08-2022,27-06-2023,Mexico,33,Male,Smartphone,1 Month,,130,,,,
119,Standard,,11,20-09-2022,25-06-2023,Spain,44,Female,Smartphone,1 Month,,130,,,,
120,Basic,,10,18-10-2022,25-06-2023,Italy,30,Female,Smart TV,1 Month,,130,,,,
121,Premium,,15,03-10-2022,24-06-2023,United States,27,Male,Smart TV,1 Month,,136,,,,
122,Basic,,11,03-05-2022,28-06-2023,Canada,51,Male,Smart TV,1 Month,,133,,,,
123,Standard,,13,25-05-2022,26-06-2023,United Kingdom,49,Female,Smartphone,1 Month,,136,,,,
124,Premium,,15,05-11-2022,25-06-2023,Australia,43,Male,Laptop,1 Month,,139,,,,
125,Basic,,12,21-08-2022,24-06-2023,Germany,42,Male,Smartphone,1 Month,,137,,,,
126,Premium,,13,21-09-2022,23-06-2023,France,45,Male,Laptop,1 Month,,139,,,,
127,Basic,,10,23-11-2021,23-06-2023,Brazil,36,Male,Smartphone,1 Month,,137,,,,
128,Standard,,12,06-10-2022,27-06-2023,Mexico,48,Male,Smartphone,1 Month,,140,,,,
129,Standard,,13,05-11-2022,23-06-2023,Spain,38,Male,Smart TV,1 Month,,142,,,,
130,Basic,,14,07-01-2023,23-06-2023,Italy,43,Female,Tablet,1 Month,,144,,,,
131,Premium,,15,06-10-2022,23-06-2023,United States,47,Male,Laptop,1 Month,,146,,,,
132,Basic,,15,24-06-2022,28-06-2023,Canada,48,Female,Smart TV,1 Month,,147,,,,
133,Standard,,13,24-06-2022,26-06-2023,United Kingdom,47,Male,Smart TV,1 Month,,146,,,,
134,Premium,,15,05-11-2022,25-06-2023,Australia,32,Male,Tablet,1 Month,,149,,,,
135,Basic,,13,18-07-2022,26-06-2023,Germany,47,Female,Smart TV,1 Month,,148,,,,
136,Premium,,12,13-09-2022,26-06-2023,France,41,Female,Smart TV,1 Month,,148,,,,
137,Basic,,12,10-08-2022,22-06-2023,Brazil,49,Male,Laptop,1 Month,,149,,,,
138,Standard,,15,21-09-2022,23-06-2023,Mexico,28,Male,Laptop,1 Month,,153,,,,
139,Standard,,13,24-03-2023,23-06-2023,Spain,40,Male,Smartphone,1 Month,,152,,,,
140,Basic,,12,02-05-2022,23-06-2023,Italy,43,Female,Smartphone,1 Month,,152,,,,
141,Premium,,12,11-05-2022,27-06-2023,United States,42,Male,Smartphone,1 Month,,153,,,,
142,Basic,,14,10-06-2022,22-06-2023,Canada,28,Male,Smart TV,1 Month,,156,,,,
143,Standard,,14,31-08-2022,24-06-2023,United Kingdom,30,Female,Tablet,1 Month,,157,,,,
144,Premium,,10,17-08-2022,26-06-2023,Australia,33,Male,Smart TV,1 Month,,154,,,,
145,Basic,,11,05-05-2022,26-06-2023,Germany,35,Female,Laptop,1 Month,,156,,,,
146,Basic,,10,06-10-2022,25-06-2023,France,38,Male,Tablet,1 Month,,156,,,,
147,Basic,,12,08-11-2022,24-06-2023,Brazil,49,Female,Laptop,1 Month,,159,,,,
148,Standard,,15,27-11-2022,28-06-2023,Mexico,39,Female,Smartphone,1 Month,,163,,,,
149,Premium,,13,17-11-2022,27-06-2023,Spain,46,Female,Smart TV,1 Month,,162,,,,
150,Basic,,10,15-12-2022,23-06-2023,Italy,47,Female,Laptop,1 Month,,160,,,,
151,Basic,,15,12-12-2022,25-06-2023,United States,30,Female,Laptop,1 Month,,166,,,,
152,Premium,,14,23-11-2022,27-06-2023,Canada,33,Female,Tablet,1 Month,,166,,,,
153,Standard,,11,25-12-2022,24-06-2023,United Kingdom,47,Male,Smartphone,1 Month,,164,,,,
154,Standard,,11,11-03-2023,27-06-2023,Australia,27,Male,Laptop,1 Month,,165,,,,
155,Basic,,14,18-11-2022,27-06-2023,Germany,28,Male,Tablet,1 Month,,169,,,,
156,Premium,,15,19-08-2022,25-06-2023,France,47,Male,Smartphone,1 Month,,171,,,,
157,Standard,,14,27-09-2022,24-06-2023,Brazil,30,Male,Laptop,1 Month,,171,,,,
158,Basic,,13,19-10-2022,28-06-2023,Mexico,47,Female,Smartphone,1 Month,,171,,,,
159,Standard,,10,21-12-2022,26-06-2023,Spain,51,Female,Smart TV,1 Month,,169,,,,
160,Premium,,15,27-10-2022,25-06-2023,Italy,39,Male,Smartphone,1 Month,,175,,,,
161,Basic,,10,23-10-2022,24-06-2023,United States,45,Male,Tablet,1 Month,,171,,,,
162,Premium,,15,19-04-2022,25-06-2023,Canada,31,Male,Laptop,1 Month,,177,,,,
163,Standard,,11,05-04-2022,26-06-2023,United Kingdom,29,Male,Laptop,1 Month,,174,,,,
164,Basic,,11,11-03-2022,26-06-2023,Australia,42,Female,Tablet,1 Month,,175,,,,
165,Standard,,14,25-05-2022,25-06-2023,Germany,49,Male,Tablet,1 Month,,179,,,,
166,Premium,,13,16-04-2022,26-06-2023,France,42,Male,Laptop,1 Month,,179,,,,
167,Basic,,13,07-04-2022,24-06-2023,Brazil,29,Male,Smartphone,1 Month,,180,,,,
168,Standard,,10,11-12-2022,28-06-2023,Mexico,29,Male,Tablet,1 Month,,178,,,,
169,Premium,,12,20-01-2023,26-06-2023,Spain,49,Male,Tablet,1 Month,,181,,,,
170,Basic,,14,12-01-2023,25-06-2023,Italy,32,Male,Laptop,1 Month,,184,,,,
171,Premium,,11,29-04-2022,24-06-2023,United States,35,Female,Tablet,1 Month,,182,,,,
172,Basic,,12,27-04-2022,26-06-2023,Canada,39,Female,Smartphone,1 Month,,184,,,,
173,Standard,,15,03-06-2022,25-06-2023,United Kingdom,40,Male,Smartphone,1 Month,,188,,,,
174,Standard,,14,23-04-2022,25-06-2023,Australia,39,Female,Tablet,1 Month,,188,,,,
175,Basic,,10,22-04-2022,26-06-2023,Germany,47,Female,Laptop,1 Month,,185,,,,
176,Premium,,13,12-04-2022,25-06-2023,France,37,Female,Smart TV,1 Month,,189,,,,
177,Basic,,15,23-05-2022,26-06-2023,Brazil,27,Female,Smartphone,1 Month,,192,,,,
178,Standard,,13,19-10-2022,26-06-2023,Mexico,49,Female,Laptop,1 Month,,191,,,,
179,Premium,,10,03-12-2022,26-06-2023,Spain,30,Female,Tablet,1 Month,,189,,,,
180,Basic,,14,26-09-2022,25-06-2023,Italy,36,Male,Laptop,1 Month,,194,,,,
181,Premium,,15,16-06-2022,27-06-2023,United States,33,Male,Smartphone,1 Month,,196,,,,
182,Basic,,13,16-05-2022,25-06-2023,Canada,30,Female,Laptop,1 Month,,195,,,,
183,Standard,,15,26-05-2022,26-06-2023,United Kingdom,36,Female,Tablet,1 Month,,198,,,,
184,Standard,,13,26-04-2022,25-06-2023,Australia,28,Female,Laptop,1 Month,,197,,,,
185,Basic,,11,12-05-2022,25-06-2023,Germany,47,Female,Tablet,1 Month,,196,,,,
186,Premium,,12,01-03-2022,25-06-2023,France,33,Female,Smart TV,1 Month,,198,,,,
187,Basic,,13,10-07-2022,24-06-2023,Brazil,49,Female,Laptop,1 Month,,200,,,,
188,Standard,,15,16-07-2022,27-06-2023,Mexico,44,Female,Smart TV,1 Month,,203,,,,
189,Premium,,13,02-09-2022,26-06-2023,Spain,47,Male,Smart TV,1 Month,,202,,,,
190,Basic,,11,18-09-2022,26-06-2023,Italy,37,Female,Tablet,1 Month,,201,,,,
191,Premium,,10,08-07-2022,25-06-2023,United States,46,Male,Laptop,1 Month,,201,,,,
192,Basic,,14,26-06-2022,27-06-2023,Canada,50,Female,Smartphone,1 Month,,206,,,,
193,Standard,,11,05-08-2022,25-06-2023,United Kingdom,50,Male,Laptop,1 Month,,204,,,,
194,Standard,,14,19-08-2022,27-06-2023,Australia,37,Male,Laptop,1 Month,,208,,,,
195,Basic,,11,26-08-2022,24-06-2023,Germany,50,Female,Smartphone,1 Month,,206,,,,
196,Premium,,13,09-06-2022,24-06-2023,France,45,Female,Smart TV,1 Month,,209,,,,
197,Basic,,14,27-09-2022,23-06-2023,Brazil,45,Male,Tablet,1 Month,,211,,,,
198,Standard,,10,18-10-2022,27-06-2023,Mexico,49,Female,Laptop,1 Month,,208,,,,
199,Premium,,14,31-10-2022,25-06-2023,Spain,39,Female,Tablet,1 Month,,213,,,,
200,Basic,,11,13-10-2022,25-06-2023,Italy,45,Female,Tablet,1 Month,,211,,,,
201,Premium,,11,04-07-2022,27-06-2023,United States,49,Female,Smart TV,1 Month,,212,,,,
202,Basic,,12,26-06-2022,27-06-2023,Canada,31,Female,Tablet,1 Month,,214,,,,
203,Standard,,13,31-07-2022,24-06-2023,United Kingdom,42,Female,Smart TV,1 Month,,216,,,,
204,Standard,,12,27-07-2022,24-06-2023,Australia,37,Male,Smartphone,1 Month,,216,,,,
205,Basic,,12,30-07-2022,25-06-2023,Germany,30,Male,Smart TV,1 Month,,217,,,,
206,Premium,,11,06-08-2022,25-06-2023,France,40,Male,Smartphone,1 Month,,217,,,,
207,Basic,,15,16-09-2022,24-06-2023,Brazil,45,Female,Smartphone,1 Month,,222,,,,
208,Standard,,15,05-01-2023,23-06-2023,Mexico,36,Female,Tablet,1 Month,,223,,,,
209,Premium,,11,10-12-2022,24-06-2023,Spain,41,Male,Laptop,1 Month,,220,,,,
210,Basic,,14,22-11-2022,26-06-2023,Italy,49,Female,Laptop,1 Month,,224,,,,
211,Premium,,15,15-11-2022,27-06-2023,United States,40,Male,Tablet,1 Month,,226,,,,
212,Basic,,11,28-10-2022,26-06-2023,Canada,36,Male,Smart TV,1 Month,,223,,,,
213,Standard,,12,08-09-2022,24-06-2023,United Kingdom,49,Female,Smart TV,1 Month,,225,,,,
214,Standard,,13,30-06-2022,28-06-2023,Australia,43,Female,Laptop,1 Month,,227,,,,
215,Basic,,13,02-09-2022,27-06-2023,Germany,50,Female,Smartphone,1 Month,,228,,,,
216,Premium,,14,08-10-2022,24-06-2023,France,51,Female,Smart TV,1 Month,,230,,,,
217,Basic,,15,13-11-2022,25-06-2023,Brazil,44,Male,Smart TV,1 Month,,232,,,,
218,Standard,,12,15-11-2022,28-06-2023,Mexico,27,Male,Tablet,1 Month,,230,,,,
219,Premium,,12,16-11-2022,25-06-2023,Spain,46,Female,Smartphone,1 Month,,231,,,,
220,Basic,,12,26-11-2022,27-06-2023,Italy,29,Male,Tablet,1 Month,,232,,,,
221,Basic,,12,26-11-2022,25-06-2023,United States,47,Male,Smartphone,1 Month,,233,,,,
222,Basic,,10,12-12-2022,26-06-2023,Canada,48,Female,Smartphone,1 Month,,232,,,,
223,Standard,,12,08-01-2023,25-06-2023,United Kingdom,34,Female,Smartphone,1 Month,,235,,,,
224,Premium,,15,27-11-2022,29-06-2023,Australia,40,Female,Smartphone,1 Month,,239,,,,
225,Basic,,14,11-10-2022,27-06-2023,Germany,48,Female,Smartphone,1 Month,,239,,,,
226,Basic,,10,27-09-2022,26-06-2023,France,35,Male,Smartphone,1 Month,,236,,,,
227,Premium,,12,30-09-2022,24-06-2023,Brazil,51,Female,Smartphone,1 Month,,239,,,,
228,Standard,,10,04-11-2022,27-06-2023,Mexico,39,Male,Smart TV,1 Month,,238,,,,
229,Standard,,13,04-11-2022,27-06-2023,Spain,29,Male,Smartphone,1 Month,,242,,,,
230,Basic,,12,30-10-2022,26-06-2023,Italy,51,Male,Laptop,1 Month,,242,,,,
231,Premium,,11,29-10-2022,24-06-2023,United States,43,Male,Smartphone,1 Month,,242,,,,
232,Standard,,11,30-08-2022,27-06-2023,Canada,28,Male,Smartphone,1 Month,,243,,,,
233,Basic,,15,07-07-2022,26-06-2023,United Kingdom,50,Female,Smart TV,1 Month,,248,,,,
234,Standard,,14,26-05-2022,27-06-2023,Australia,44,Female,Laptop,1 Month,,248,,,,
235,Premium,,11,17-05-2022,25-06-2023,Germany,50,Male,Laptop,1 Month,,246,,,,
236,Basic,,11,08-05-2022,26-06-2023,France,39,Female,Smartphone,1 Month,,247,,,,
237,Premium,,13,07-07-2022,25-06-2023,Brazil,46,Female,Tablet,1 Month,,250,,,,
238,Standard,,15,17-07-2022,28-06-2023,Mexico,48,Male,Smartphone,1 Month,,253,,,,
239,Basic,,15,23-12-2022,26-06-2023,Spain,38,Male,Smart TV,1 Month,,254,,,,
240,Standard,,13,27-06-2022,26-06-2023,Italy,38,Male,Smartphone,1 Month,,253,,,,
241,Premium,,13,31-05-2022,27-06-2023,United States,47,Male,Laptop,1 Month,,254,,,,
242,Basic,,12,02-06-2022,26-06-2023,Canada,37,Male,Laptop,1 Month,,254,,,,
243,Standard,,11,25-05-2022,27-06-2023,United Kingdom,33,Male,Laptop,1 Month,,254,,,,
244,Premium,,15,26-04-2022,26-06-2023,Australia,28,Male,Smartphone,1 Month,,259,,,,
245,Basic,,13,20-04-2022,26-06-2023,Germany,47,Male,Smart TV,1 Month,,258,,,,
246,Premium,,11,03-05-2022,25-06-2023,France,38,Female,Smartphone,1 Month,,257,,,,
247,Basic,,12,07-07-2022,27-06-2023,Brazil,27,Male,Smart TV,1 Month,,259,,,,
248,Standard,,13,15-09-2022,26-06-2023,Mexico,34,Male,Smartphone,1 Month,,261,,,,
249,Standard,,14,16-09-2022,27-06-2023,Spain,42,Female,Smartphone,1 Month,,263,,,,
250,Basic,,14,09-08-2022,26-06-2023,Italy,28,Male,Laptop,1 Month,,264,,,,
251,Premium,,15,25-06-2022,27-06-2023,United States,30,Male,Laptop,1 Month,,266,,,,
252,Basic,,11,30-05-2022,26-06-2023,Canada,38,Female,Smartphone,1 Month,,263,,,,
253,Standard,,15,21-05-2022,25-06-2023,United Kingdom,45,Female,Tablet,1 Month,,268,,,,
254,Premium,,12,20-05-2022,27-06-2023,Australia,48,Female,Smart TV,1 Month,,266,,,,
255,Basic,,13,20-05-2022,26-06-2023,Germany,46,Female,Smart TV,1 Month,,268,,,,
256,Premium,,12,30-05-2022,26-06-2023,France,34,Male,Tablet,1 Month,,268,,,,
257,Basic,,13,17-06-2022,25-06-2023,Brazil,46,Male,Laptop,1 Month,,270,,,,
258,Standard,,11,16-07-2022,28-06-2023,Mexico,41,Female,Smartphone,1 Month,,269,,,,
259,Standard,,15,05-08-2022,26-06-2023,Spain,28,Male,Smartphone,1 Month,,274,,,,
260,Basic,,10,17-07-2022,26-06-2023,Italy,27,Female,Smartphone,1 Month,,270,,,,
261,Premium,,13,04-07-2022,25-06-2023,United States,27,Female,Smart TV,1 Month,,274,,,,
262,Basic,,12,13-07-2022,26-06-2023,Canada,28,Female,Tablet,1 Month,,274,,,,
263,Standard,,15,25-07-2022,24-06-2023,United Kingdom,46,Male,Smartphone,1 Month,,278,,,,
264,Premium,,10,09-08-2022,27-06-2023,Australia,51,Male,Smartphone,1 Month,,274,,,,
265,Basic,,11,05-08-2022,25-06-2023,Germany,32,Female,Smart TV,1 Month,,276,,,,
266,Premium,,10,17-08-2022,26-06-2023,France,44,Male,Tablet,1 Month,,276,,,,
267,Basic,,11,08-09-2022,27-06-2023,Brazil,44,Female,Laptop,1 Month,,278,,,,
268,Standard,,13,16-10-2022,28-06-2023,Mexico,34,Female,Smart TV,1 Month,,281,,,,
269,Standard,,13,15-10-2022,25-06-2023,Spain,29,Female,Laptop,1 Month,,282,,,,
270,Basic,,12,04-09-2022,25-06-2023,Italy,47,Male,Smart TV,1 Month,,282,,,,
271,Premium,,14,20-08-2022,26-06-2023,United States,41,Male,Laptop,1 Month,,285,,,,
272,Basic,,10,10-08-2022,26-06-2023,Canada,36,Female,Smartphone,1 Month,,282,,,,
273,Standard,,12,02-08-2022,25-06-2023,United Kingdom,28,Female,Laptop,1 Month,,285,,,,
274,Premium,,10,01-08-2022,24-06-2023,Australia,27,Female,Tablet,1 Month,,284,,,,
275,Basic,,15,06-08-2022,25-06-2023,Germany,34,Female,Laptop,1 Month,,290,,,,
276,Premium,,14,09-08-2022,25-06-2023,France,34,Female,Smart TV,1 Month,,290,,,,
277,Basic,,13,12-09-2022,26-06-2023,Brazil,37,Female,Tablet,1 Month,,290,,,,
