User ID,Subscription Type,Monthly Revenue,Join Date,Last Payment Date,Country,Age,Gender,Device,Plan Duration,concatenate,textjoin,textjoin copy,textsplit,search,left,right,mid,length
13,Basic,12,30-11-2021,27-06-2023,United Kingdom,48,Female,Laptop,1 Month,Basic in United Kingdom,"Basic , United Kingdom","Basic , United Kingdom",Basic ,#VALUE!,L,m,Lap,14
14,Basic,10,01-08-2022,26-06-2023,Australia,27,Male,Smartphone,1 Month,Basic in Australia,"Basic , Australia","Basic , Australia",Basic ,1,S,a,Sma,9
15,Basic,12,09-05-2023,28-06-2023,Germany,38,Female,Smart TV,1 Month,Basic in Germany,"Basic , Germany","Basic , Germany",Basic ,5,S,y,Sma,7
16,Basic,15,07-04-2022,27-06-2023,France,36,Male,Tablet,1 Month,Basic in France,"Basic , France","Basic , France",Basic ,3,T,e,Tab,6
17,Basic,10,24-01-2022,25-06-2023,Brazil,30,Female,Laptop,1 Month,Basic in Brazil,"Basic , Brazil","Basic , Brazil",Basic ,3,L,l,Lap,6
18,Basic,12,18-10-2021,24-06-2023,Mexico,43,Male,Smartphone,1 Month,Basic in Mexico,"Basic , Mexico","Basic , Mexico",Basic ,#VALUE!,S,o,Sma,6
19,Basic,15,15-02-2023,23-06-2023,Spain,32,Female,Smart TV,1 Month,Basic in Spain,"Basic , Spain","Basic , Spain",Basic ,3,S,n,Sma,5
20,Basic,10,27-05-2023,22-06-2023,Italy,41,Male,Tablet,1 Month,Basic in Italy,"Basic , Italy","Basic , Italy",Basic ,3,T,y,Tab,5
21,Basic,15,10-06-2023,22-06-2023,United States,26,Female,Laptop,1 Month,Basic in United States,"Basic , United States","Basic , United States",Basic ,10,L,s,Lap,13
22,Basic,10,22-07-2022,28-06-2023,Canada,34,Male,Smartphone,1 Month,Basic in Canada,"Basic , Canada","Basic , Canada",Basic ,2,S,a,Sma,6
23,Basic,12,05-12-2021,27-06-2023,United Kingdom,49,Female,Smart TV,1 Month,Basic in United Kingdom,"Basic , United Kingdom","Basic , United Kingdom",Basic ,#VALUE!,S,m,Sma,14
24,Basic,12,03-04-2022,26-06-2023,Australia,31,Male,Tablet,1 Month,Basic in Australia,"Basic , Australia","Basic , Australia",Basic ,1,T,a,Tab,9
25,Basic,10,14-03-2023,28-06-2023,Germany,40,Female,Laptop,1 Month,Basic in Germany,"Basic , Germany","Basic , Germany",Basic ,5,L,y,Lap,7
26,Basic,15,12-01-2022,27-06-2023,France,29,Male,Smartphone,1 Month,Basic in France,"Basic , France","Basic , France",Basic ,3,S,e,Sma,6
27,Basic,10,29-08-2022,25-06-2023,Brazil,47,Female,Smart TV,1 Month,Basic in Brazil,"Basic , Brazil","Basic , Brazil",Basic ,3,S,l,Sma,6
28,Basic,12,27-09-2021,24-06-2023,Mexico,33,Male,Tablet,1 Month,Basic in Mexico,"Basic , Mexico","Basic , Mexico",Basic ,#VALUE!,T,o,Tab,6
29,Basic,15,19-12-2022,23-06-2023,Spain,36,Female,Laptop,1 Month,Basic in Spain,"Basic , Spain","Basic , Spain",Basic ,3,L,n,Lap,5
30,Basic,10,17-05-2023,22-06-2023,Italy,42,Male,Smartphone,1 Month,Basic in Italy,"Basic , Italy","Basic , Italy",Basic ,3,S,y,Sma,5
31,Basic,15,03-02-2023,22-06-2023,United States,28,Female,Smart TV,1 Month,Basic in United States,"Basic , United States","Basic , United States",Basic ,10,S,s,Sma,13
32,Basic,10,07-07-2022,28-06-2023,Canada,37,Male,Tablet,1 Month,Basic in Canada,"Basic , Canada","Basic , Canada",Basic ,2,T,a,Tab,6
33,Basic,12,21-01-2022,27-06-2023,United Kingdom,41,Female,Laptop,1 Month,Basic in United Kingdom,"Basic , United Kingdom","Basic , United Kingdom",Basic ,#VALUE!,L,m,Lap,14
34,Basic,12,25-05-2022,26-06-2023,Australia,29,Male,Smartphone,1 Month,Basic in Australia,"Basic , Australia","Basic , Australia",Basic ,1,S,a,Sma,9
35,Basic,10,11-04-2023,28-06-2023,Germany,39,Female,Smart TV,1 Month,Basic in Germany,"Basic , Germany","Basic , Germany",Basic ,5,S,y,Sma,7
36,Basic,15,01-03-2022,27-06-2023,France,35,Male,Tablet,1 Month,Basic in France,"Basic , France","Basic , France",Basic ,3,T,e,Tab,6
37,Basic,10,14-09-2022,25-06-2023,Brazil,45,Female,Laptop,1 Month,Basic in Brazil,"Basic , Brazil","Basic , Brazil",Basic ,3,L,l,Lap,6
38,Basic,12,05-11-2021,24-06-2023,Mexico,32,Male,Smartphone,1 Month,Basic in Mexico,"Basic , Mexico","Basic , Mexico",Basic ,#VALUE!,S,o,Sma,6
39,Basic,15,28-12-2022,23-06-2023,Spain,27,Female,Smart TV,1 Month,Basic in Spain,"Basic , Spain","Basic , Spain",Basic ,3,S,n,Sma,5
40,Basic,10,07-03-2023,22-06-2023,Italy,48,Male,Tablet,1 Month,Basic in Italy,"Basic , Italy","Basic , Italy",Basic ,3,T,y,Tab,5
41,Basic,15,20-01-2023,22-06-2023,United States,31,Female,Laptop,1 Month,Basic in United States,"Basic , United States","Basic , United States",Basic ,10,L,s,Lap,13
42,Basic,10,15-06-2022,28-06-2023,Canada,40,Male,Smartphone,1 Month,Basic in Canada,"Basic , Canada","Basic , Canada",Basic ,2,S,a,Sma,6
43,Basic,12,07-02-2022,27-06-2023,United Kingdom,36,Female,Smart TV,1 Month,Basic in United Kingdom,"Basic , United Kingdom","Basic , United Kingdom",Basic ,#VALUE!,S,m,Sma,14
44,Basic,12,26-04-2022,26-06-2023,Australia,29,Male,Tablet,1 Month,Basic in Australia,"Basic , Australia","Basic , Australia",Basic ,1,T,a,Tab,9
45,Basic,10,28-01-2023,28-06-2023,Germany,43,Female,Laptop,1 Month,Basic in Germany,"Basic , Germany","Basic , Germany",Basic ,5,L,y,Lap,7
46,Basic,15,23-02-2022,27-06-2023,France,34,Male,Smartphone,1 Month,Basic in France,"Basic , France","Basic , France",Basic ,3,S,e,Sma,6
47,Basic,10,05-10-2022,25-06-2023,Brazil,39,Female,Smart TV,1 Month,Basic in Brazil,"Basic , Brazil","Basic , Brazil",Basic ,3,S,l,Sma,6
48,Basic,12,15-09-2021,24-06-2023,Mexico,32,Male,Tablet,1 Month,Basic in Mexico,"Basic , Mexico","Basic , Mexico",Basic ,#VALUE!,T,o,Tab,6
49,Basic,15,10-11-2022,23-06-2023,Spain,28,Female,Laptop,1 Month,Basic in Spain,"Basic , Spain","Basic , Spain",Basic ,3,L,n,Lap,5
50,Basic,10,02-06-2023,22-06-2023,Italy,45,Male,Smartphone,1 Month,Basic in Italy,"Basic , Italy","Basic , Italy",Basic ,3,S,y,Sma,5
51,Basic,15,27-02-2023,22-06-2023,United States,30,Female,Smart TV,1 Month,Basic in United States,"Basic , United States","Basic , United States",Basic ,10,S,s,Sma,13
52,Basic,10,29-08-2022,28-06-2023,Canada,37,Male,Tablet,1 Month,Basic in Canada,"Basic , Canada","Basic , Canada",Basic ,2,T,a,Tab,6
53,Basic,12,13-01-2022,27-06-2023,United Kingdom,41,Female,Laptop,1 Month,Basic in United Kingdom,"Basic , United Kingdom","Basic , United Kingdom",Basic ,#VALUE!,L,m,Lap,14
54,Basic,12,30-06-2022,26-06-2023,Australia,29,Male,Smartphone,1 Month,Basic in Australia,"Basic , Australia","Basic , Australia",Basic ,1,S,a,Sma,9
55,Basic,10,20-04-2023,28-06-2023,Germany,39,Female,Smart TV,1 Month,Basic in Germany,"Basic , Germany","Basic , Germany",Basic ,5,S,y,Sma,7
56,Basic,15,15-03-2022,27-06-2023,France,36,Male,Tablet,1 Month,Basic in France,"Basic , France","Basic , France",Basic ,3,T,e,Tab,6
57,Basic,10,01-10-2022,25-06-2023,Brazil,46,Female,Laptop,1 Month,Basic in Brazil,"Basic , Brazil","Basic , Brazil",Basic ,3,L,l,Lap,6
58,Basic,12,08-10-2021,24-06-2023,Mexico,34,Male,Smartphone,1 Month,Basic in Mexico,"Basic , Mexico","Basic , Mexico",Basic ,#VALUE!,S,o,Sma,6
59,Basic,15,03-12-2022,23-06-2023,Spain,27,Female,Smart TV,1 Month,Basic in Spain,"Basic , Spain","Basic , Spain",Basic ,3,S,n,Sma,5
60,Basic,10,14-06-2023,22-06-2023,Italy,42,Male,Tablet,1 Month,Basic in Italy,"Basic , Italy","Basic , Italy",Basic ,3,T,y,Tab,5
61,Basic,15,08-02-2023,22-06-2023,United States,28,Female,Laptop,1 Month,Basic in United States,"Basic , United States","Basic , United States",Basic ,10,L,s,Lap,13
62,Basic,10,03-08-2022,28-06-2023,Canada,37,Male,Smartphone,1 Month,Basic in Canada,"Basic , Canada","Basic , Canada",Basic ,2,S,a,Sma,6
63,Basic,12,23-02-2022,27-06-2023,United Kingdom,41,Female,Smart TV,1 Month,Basic in United Kingdom,"Basic , United Kingdom","Basic , United Kingdom",Basic ,#VALUE!,S,m,Sma,14
64,Basic,12,20-06-2022,26-06-2023,Australia,29,Male,Tablet,1 Month,Basic in Australia,"Basic , Australia","Basic , Australia",Basic ,1,T,a,Tab,9
65,Basic,10,29-03-2023,28-06-2023,Germany,40,Female,Laptop,1 Month,Basic in Germany,"Basic , Germany","Basic , Germany",Basic ,5,L,y,Lap,7
66,Basic,15,30-01-2022,27-06-2023,France,29,Male,Smartphone,1 Month,Basic in France,"Basic , France","Basic , France",Basic ,3,S,e,Sma,6
67,Basic,10,18-09-2022,25-06-2023,Brazil,47,Female,Smart TV,1 Month,Basic in Brazil,"Basic , Brazil","Basic , Brazil",Basic ,3,S,l,Sma,6
68,Basic,12,09-11-2021,24-06-2023,Mexico,33,Male,Tablet,1 Month,Basic in Mexico,"Basic , Mexico","Basic , Mexico",Basic ,#VALUE!,T,o,Tab,6
69,Basic,15,23-12-2022,23-06-2023,Spain,36,Female,Laptop,1 Month,Basic in Spain,"Basic , Spain","Basic , Spain",Basic ,3,L,n,Lap,5
70,Basic,10,08-05-2023,22-06-2023,Italy,41,Male,Smartphone,1 Month,Basic in Italy,"Basic , Italy","Basic , Italy",Basic ,3,S,y,Sma,5
71,Basic,10,26-01-2022,20-06-2023,United States,27,Male,Smartphone,1 Month,Basic in United States,"Basic , United States","Basic , United States",Basic ,10,S,s,Sma,13
72,Basic,10,11-10-2022,22-06-2023,Canada,31,Female,Smartphone,1 Month,Basic in Canada,"Basic , Canada","Basic , Canada",Basic ,2,S,a,Sma,6
73,Basic,12,27-09-2022,26-06-2023,United Kingdom,28,Female,Laptop,1 Month,Basic in United Kingdom,"Basic , United Kingdom","Basic , United Kingdom",Basic ,#VALUE!,L,m,Lap,14
74,Basic,13,14-12-2022,25-06-2023,Australia,41,Female,Smartphone,1 Month,Basic in Australia,"Basic , Australia","Basic , Australia",Basic ,1,S,a,Sma,9
75,Basic,13,28-05-2022,26-06-2023,Germany,28,Female,Laptop,1 Month,Basic in Germany,"Basic , Germany","Basic , Germany",Basic ,5,L,y,Lap,7
76,Basic,13,29-12-2021,26-06-2023,France,51,Female,Laptop,1 Month,Basic in France,"Basic , France","Basic , France",Basic ,3,L,e,Lap,6
77,Basic,15,25-12-2022,23-06-2023,Brazil,45,Female,Smartphone,1 Month,Basic in Brazil,"Basic , Brazil","Basic , Brazil",Basic ,3,S,l,Sma,6
78,Basic,15,18-11-2022,28-06-2023,Mexico,49,Male,Tablet,1 Month,Basic in Mexico,"Basic , Mexico","Basic , Mexico",Basic ,#VALUE!,T,o,Tab,6
79,Basic,15,03-12-2022,25-06-2023,Spain,43,Female,Laptop,1 Month,Basic in Spain,"Basic , Spain","Basic , Spain",Basic ,3,L,n,Lap,5
80,Basic,12,08-11-2022,22-06-2023,Italy,43,Male,Tablet,1 Month,Basic in Italy,"Basic , Italy","Basic , Italy",Basic ,3,T,y,Tab,5
81,Basic,10,11-01-2023,24-06-2023,United States,37,Male,Tablet,1 Month,Basic in United States,"Basic , United States","Basic , United States",Basic ,10,T,s,Tab,13
82,Basic,12,07-12-2022,28-06-2023,Canada,35,Male,Laptop,1 Month,Basic in Canada,"Basic , Canada","Basic , Canada",Basic ,2,L,a,Lap,6
83,Basic,10,20-10-2022,26-06-2023,United Kingdom,46,Female,Smartphone,1 Month,Basic in United Kingdom,"Basic , United Kingdom","Basic , United Kingdom",Basic ,#VALUE!,S,m,Sma,14
84,Basic,12,13-04-2023,25-06-2023,Australia,32,Male,Smartphone,1 Month,Basic in Australia,"Basic , Australia","Basic , Australia",Basic ,1,S,a,Sma,9
85,Basic,10,06-04-2023,27-06-2023,Germany,37,Female,Laptop,1 Month,Basic in Germany,"Basic , Germany","Basic , Germany",Basic ,5,L,y,Lap,7
86,Basic,11,04-03-2022,25-06-2023,France,29,Female,Smartphone,1 Month,Basic in France,"Basic , France","Basic , France",Basic ,3,S,e,Sma,6
87,Basic,15,28-12-2021,23-06-2023,Brazil,45,Male,Smart TV,1 Month,Basic in Brazil,"Basic , Brazil","Basic , Brazil",Basic ,3,S,l,Sma,6
88,Basic,12,27-09-2022,28-06-2023,Mexico,47,Male,Tablet,1 Month,Basic in Mexico,"Basic , Mexico","Basic , Mexico",Basic ,#VALUE!,T,o,Tab,6
89,Basic,15,20-10-2022,26-06-2023,Spain,39,Male,Smartphone,1 Month,Basic in Spain,"Basic , Spain","Basic , Spain",Basic ,3,S,n,Sma,5
90,Basic,13,03-02-2023,23-06-2023,Italy,49,Female,Smartphone,1 Month,Basic in Italy,"Basic , Italy","Basic , Italy",Basic ,3,S,y,Sma,5
91,Basic,11,03-10-2022,23-06-2023,United States,39,Male,Tablet,1 Month,Basic in United States,"Basic , United States","Basic , United States",Basic ,10,T,s,Tab,13
92,Basic,14,05-01-2022,28-06-2023,Canada,39,Male,Smart TV,1 Month,Basic in Canada,"Basic , Canada","Basic , Canada",Basic ,2,S,a,Sma,6
93,Basic,12,05-02-2022,26-06-2023,United Kingdom,35,Male,Smartphone,1 Month,Basic in United Kingdom,"Basic , United Kingdom","Basic , United Kingdom",Basic ,#VALUE!,S,m,Sma,14
94,Basic,12,19-03-2022,25-06-2023,Australia,44,Male,Smartphone,1 Month,Basic in Australia,"Basic , Australia","Basic , Australia",Basic ,1,S,a,Sma,9
95,Basic,11,28-02-2022,25-06-2023,Germany,34,Male,Laptop,1 Month,Basic in Germany,"Basic , Germany","Basic , Germany",Basic ,5,L,y,Lap,7
96,Basic,14,26-07-2022,24-06-2023,France,32,Male,Laptop,1 Month,Basic in France,"Basic , France","Basic , France",Basic ,3,L,e,Lap,6
97,Basic,10,05-03-2022,24-06-2023,Brazil,29,Female,Tablet,1 Month,Basic in Brazil,"Basic , Brazil","Basic , Brazil",Basic ,3,T,l,Tab,6
98,Basic,13,07-03-2022,28-06-2023,Mexico,31,Female,Tablet,1 Month,Basic in Mexico,"Basic , Mexico","Basic , Mexico",Basic ,#VALUE!,T,o,Tab,6
99,Basic,12,13-01-2023,24-06-2023,Spain,29,Female,Tablet,1 Month,Basic in Spain,"Basic , Spain","Basic , Spain",Basic ,3,T,n,Tab,5
100,Basic,12,22-01-2023,25-06-2023,Italy,35,Male,Laptop,1 Month,Basic in Italy,"Basic , Italy","Basic , Italy",Basic ,3,L,y,Lap,5
101,Basic,11,17-10-2022,24-06-2023,United States,46,Female,Tablet,1 Month,Basic in United States,"Basic , United States","Basic , United States",Basic ,10,T,s,Tab,13
102,Basic,12,29-03-2022,28-06-2023,Canada,31,Male,Tablet,1 Month,Basic in Canada,"Basic , Canada","Basic , Canada",Basic ,2,T,a,Tab,6
103,Basic,13,04-04-2022,26-06-2023,United Kingdom,36,Male,Laptop,1 Month,Basic in United Kingdom,"Basic , United Kingdom","Basic , United Kingdom",Basic ,#VALUE!,L,m,Lap,14
104,Basic,10,08-06-2022,25-06-2023,Australia,38,Male,Laptop,1 Month,Basic in Australia,"Basic , Australia","Basic , Australia",Basic ,1,L,a,Lap,9
105,Basic,11,04-03-2022,27-06-2023,Germany,46,Female,Laptop,1 Month,Basic in Germany,"Basic , Germany","Basic , Germany",Basic ,5,L,y,Lap,7
106,Basic,10,18-03-2022,24-06-2023,France,49,Female,Tablet,1 Month,Basic in France,"Basic , France","Basic , France",Basic ,3,T,e,Tab,6
107,Basic,14,07-03-2022,24-06-2023,Brazil,29,Female,Smart TV,1 Month,Basic in Brazil,"Basic , Brazil","Basic , Brazil",Basic ,3,S,l,Sma,6
108,Basic,12,24-05-2022,25-06-2023,Mexico,27,Female,Smart TV,1 Month,Basic in Mexico,"Basic , Mexico","Basic , Mexico",Basic ,#VALUE!,S,o,Sma,6
109,Basic,13,08-02-2023,25-06-2023,Spain,35,Female,Tablet,1 Month,Basic in Spain,"Basic , Spain","Basic , Spain",Basic ,3,T,n,Tab,5
110,Basic,13,26-01-2023,24-06-2023,Italy,37,Female,Laptop,1 Month,Basic in Italy,"Basic , Italy","Basic , Italy",Basic ,3,L,y,Lap,5
111,Basic,14,14-07-2022,27-06-2023,United States,40,Male,Tablet,1 Month,Basic in United States,"Basic , United States","Basic , United States",Basic ,10,T,s,Tab,13
112,Basic,10,01-06-2022,28-06-2023,Canada,33,Female,Laptop,1 Month,Basic in Canada,"Basic , Canada","Basic , Canada",Basic ,2,L,a,Lap,6
113,Basic,15,07-05-2022,26-06-2023,United Kingdom,37,Male,Tablet,1 Month,Basic in United Kingdom,"Basic , United Kingdom","Basic , United Kingdom",Basic ,#VALUE!,T,m,Tab,14
114,Basic,10,18-11-2022,25-06-2023,Australia,48,Male,Smartphone,1 Month,Basic in Australia,"Basic , Australia","Basic , Australia",Basic ,1,S,a,Sma,9
115,Basic,11,05-04-2022,25-06-2023,Germany,50,Female,Laptop,1 Month,Basic in Germany,"Basic , Germany","Basic , Germany",Basic ,5,L,y,Lap,7
116,Basic,14,19-05-2022,23-06-2023,France,45,Female,Smart TV,1 Month,Basic in France,"Basic , France","Basic , France",Basic ,3,S,e,Sma,6
117,Basic,15,30-10-2021,23-06-2023,Brazil,40,Female,Tablet,1 Month,Basic in Brazil,"Basic , Brazil","Basic , Brazil",Basic ,3,T,l,Tab,6
118,Basic,12,07-08-2022,27-06-2023,Mexico,33,Male,Smartphone,1 Month,Basic in Mexico,"Basic , Mexico","Basic , Mexico",Basic ,#VALUE!,S,o,Sma,6
119,Basic,11,20-09-2022,25-06-2023,Spain,44,Female,Smartphone,1 Month,Basic in Spain,"Basic , Spain","Basic , Spain",Basic ,3,S,n,Sma,5
120,Basic,10,18-10-2022,25-06-2023,Italy,30,Female,Smart TV,1 Month,Basic in Italy,"Basic , Italy","Basic , Italy",Basic ,3,S,y,Sma,5
121,Basic,15,03-10-2022,24-06-2023,United States,27,Male,Smart TV,1 Month,Basic in United States,"Basic , United States","Basic , United States",Basic ,10,S,s,Sma,13
122,Basic,11,03-05-2022,28-06-2023,Canada,51,Male,Smart TV,1 Month,Basic in Canada,"Basic , Canada","Basic , Canada",Basic ,2,S,a,Sma,6
123,Basic,13,25-05-2022,26-06-2023,United Kingdom,49,Female,Smartphone,1 Month,Basic in United Kingdom,"Basic , United Kingdom","Basic , United Kingdom",Basic ,#VALUE!,S,m,Sma,14
124,Basic,15,05-11-2022,25-06-2023,Australia,43,Male,Laptop,1 Month,Basic in Australia,"Basic , Australia","Basic , Australia",Basic ,1,L,a,Lap,9
125,Basic,12,21-08-2022,24-06-2023,Germany,42,Male,Smartphone,1 Month,Basic in Germany,"Basic , Germany","Basic , Germany",Basic ,5,S,y,Sma,7
126,Basic,13,21-09-2022,23-06-2023,France,45,Male,Laptop,1 Month,Basic in France,"Basic , France","Basic , France",Basic ,3,L,e,Lap,6
127,Basic,10,23-11-2021,23-06-2023,Brazil,36,Male,Smartphone,1 Month,Basic in Brazil,"Basic , Brazil","Basic , Brazil",Basic ,3,S,l,Sma,6
128,Basic,12,06-10-2022,27-06-2023,Mexico,48,Male,Smartphone,1 Month,Basic in Mexico,"Basic , Mexico","Basic , Mexico",Basic ,#VALUE!,S,o,Sma,6
129,Basic,13,05-11-2022,23-06-2023,Spain,38,Male,Smart TV,1 Month,Basic in Spain,"Basic , Spain","Basic , Spain",Basic ,3,S,n,Sma,5
130,Basic,14,07-01-2023,23-06-2023,Italy,43,Female,Tablet,1 Month,Basic in Italy,"Basic , Italy","Basic , Italy",Basic ,3,T,y,Tab,5
131,Basic,15,06-10-2022,23-06-2023,United States,47,Male,Laptop,1 Month,Basic in United States,"Basic , United States","Basic , United States",Basic ,10,L,s,Lap,13
132,Basic,15,24-06-2022,28-06-2023,Canada,48,Female,Smart TV,1 Month,Basic in Canada,"Basic , Canada","Basic , Canada",Basic ,2,S,a,Sma,6
133,Basic,13,24-06-2022,26-06-2023,United Kingdom,47,Male,Smart TV,1 Month,Basic in United Kingdom,"Basic , United Kingdom","Basic , United Kingdom",Basic ,#VALUE!,S,m,Sma,14
134,Basic,15,05-11-2022,25-06-2023,Australia,32,Male,Tablet,1 Month,Basic in Australia,"Basic , Australia","Basic , Australia",Basic ,1,T,a,Tab,9
135,Basic,13,18-07-2022,26-06-2023,Germany,47,Female,Smart TV,1 Month,Basic in Germany,"Basic , Germany","Basic , Germany",Basic ,5,S,y,Sma,7
136,Basic,12,13-09-2022,26-06-2023,France,41,Female,Smart TV,1 Month,Basic in France,"Basic , France","Basic , France",Basic ,3,S,e,Sma,6
137,Basic,12,10-08-2022,22-06-2023,Brazil,49,Male,Laptop,1 Month,Basic in Brazil,"Basic , Brazil","Basic , Brazil",Basic ,3,L,l,Lap,6
138,Basic,15,21-09-2022,23-06-2023,Mexico,28,Male,Laptop,1 Month,Basic in Mexico,"Basic , Mexico","Basic , Mexico",Basic ,#VALUE!,L,o,Lap,6
139,Basic,13,24-03-2023,23-06-2023,Spain,40,Male,Smartphone,1 Month,Basic in Spain,"Basic , Spain","Basic , Spain",Basic ,3,S,n,Sma,5
140,Basic,12,02-05-2022,23-06-2023,Italy,43,Female,Smartphone,1 Month,Basic in Italy,"Basic , Italy","Basic , Italy",Basic ,3,S,y,Sma,5
141,Basic,12,11-05-2022,27-06-2023,United States,42,Male,Smartphone,1 Month,Basic in United States,"Basic , United States","Basic , United States",Basic ,10,S,s,Sma,13
142,Basic,14,10-06-2022,22-06-2023,Canada,28,Male,Smart TV,1 Month,Basic in Canada,"Basic , Canada","Basic , Canada",Basic ,2,S,a,Sma,6
143,Basic,14,31-08-2022,24-06-2023,United Kingdom,30,Female,Tablet,1 Month,Basic in United Kingdom,"Basic , United Kingdom","Basic , United Kingdom",Basic ,#VALUE!,T,m,Tab,14
144,Basic,10,17-08-2022,26-06-2023,Australia,33,Male,Smart TV,1 Month,Basic in Australia,"Basic , Australia","Basic , Australia",Basic ,1,S,a,Sma,9
145,Basic,11,05-05-2022,26-06-2023,Germany,35,Female,Laptop,1 Month,Basic in Germany,"Basic , Germany","Basic , Germany",Basic ,5,L,y,Lap,7
146,Basic,10,06-10-2022,25-06-2023,France,38,Male,Tablet,1 Month,Basic in France,"Basic , France","Basic , France",Basic ,3,T,e,Tab,6
147,Basic,12,08-11-2022,24-06-2023,Brazil,49,Female,Laptop,1 Month,Basic in Brazil,"Basic , Brazil","Basic , Brazil",Basic ,3,L,l,Lap,6
148,Basic,15,27-11-2022,28-06-2023,Mexico,39,Female,Smartphone,1 Month,Basic in Mexico,"Basic , Mexico","Basic , Mexico",Basic ,#VALUE!,S,o,Sma,6
149,Basic,13,17-11-2022,27-06-2023,Spain,46,Female,Smart TV,1 Month,Basic in Spain,"Basic , Spain","Basic , Spain",Basic ,3,S,n,Sma,5
150,Basic,10,15-12-2022,23-06-2023,Italy,47,Female,Laptop,1 Month,Basic in Italy,"Basic , Italy","Basic , Italy",Basic ,3,L,y,Lap,5
151,Basic,15,12-12-2022,25-06-2023,United States,30,Female,Laptop,1 Month,Basic in United States,"Basic , United States","Basic , United States",Basic ,10,L,s,Lap,13
152,Basic,14,23-11-2022,27-06-2023,Canada,33,Female,Tablet,1 Month,Basic in Canada,"Basic , Canada","Basic , Canada",Basic ,2,T,a,Tab,6
153,Basic,11,25-12-2022,24-06-2023,United Kingdom,47,Male,Smartphone,1 Month,Basic in United Kingdom,"Basic , United Kingdom","Basic , United Kingdom",Basic ,#VALUE!,S,m,Sma,14
154,Basic,11,11-03-2023,27-06-2023,Australia,27,Male,Laptop,1 Month,Basic in Australia,"Basic , Australia","Basic , Australia",Basic ,1,L,a,Lap,9
155,Basic,14,18-11-2022,27-06-2023,Germany,28,Male,Tablet,1 Month,Basic in Germany,"Basic , Germany","Basic , Germany",Basic ,5,T,y,Tab,7
156,Basic,15,19-08-2022,25-06-2023,France,47,Male,Smartphone,1 Month,Basic in France,"Basic , France","Basic , France",Basic ,3,S,e,Sma,6
157,Basic,14,27-09-2022,24-06-2023,Brazil,30,Male,Laptop,1 Month,Basic in Brazil,"Basic , Brazil","Basic , Brazil",Basic ,3,L,l,Lap,6
158,Basic,13,19-10-2022,28-06-2023,Mexico,47,Female,Smartphone,1 Month,Basic in Mexico,"Basic , Mexico","Basic , Mexico",Basic ,#VALUE!,S,o,Sma,6
159,Basic,10,21-12-2022,26-06-2023,Spain,51,Female,Smart TV,1 Month,Basic in Spain,"Basic , Spain","Basic , Spain",Basic ,3,S,n,Sma,5
160,Basic,15,27-10-2022,25-06-2023,Italy,39,Male,Smartphone,1 Month,Basic in Italy,"Basic , Italy","Basic , Italy",Basic ,3,S,y,Sma,5
161,Basic,10,23-10-2022,24-06-2023,United States,45,Male,Tablet,1 Month,Basic in United States,"Basic , United States","Basic , United States",Basic ,10,T,s,Tab,13
162,Basic,15,19-04-2022,25-06-2023,Canada,31,Male,Laptop,1 Month,Basic in Canada,"Basic , Canada","Basic , Canada",Basic ,2,L,a,Lap,6
